model,field,accuracy,precision,recall,f1_score
mistral-large,histologic_type,1.0,0.0,0.0,0.0
mistral-large,pathologic_T,0.5,0.5,0.5,0.5
mistral-large,pathologic_N,0.5,0.5,0.5,0.5
mistral-large,pathologic_M,0.5,0.5,0.5,0.5
mistral-large,extrathyroidal_extension,0.5,0.5,0.5,0.5
mistral-large,focality,1.0,1.0,1.0,1.0
mistral-large,lymph_nodes_examined_count,0.5,0.5,0.5,0.5
mistral-large,lymph_nodes_positive_count,0.5,0.5,0.5,0.5
llama-3.1-405b,histologic_type,1.0,0.0,0.0,0.0
llama-3.1-405b,pathologic_T,0.0,0.0,0.0,0.0
llama-3.1-405b,pathologic_N,0.0,0.0,0.0,0.0
llama-3.1-405b,pathologic_M,0.0,0.0,0.0,0.0
llama-3.1-405b,extrathyroidal_extension,0.0,0.0,0.0,0.0
llama-3.1-405b,focality,1.0,1.0,1.0,1.0
llama-3.1-405b,lymph_nodes_examined_count,1.0,1.0,1.0,1.0
llama-3.1-405b,lymph_nodes_positive_count,1.0,1.0,1.0,1.0
llama-3.1-70b,histologic_type,1.0,0.0,0.0,0.0
llama-3.1-70b,pathologic_T,0.0,0.0,0.0,0.0
llama-3.1-70b,pathologic_N,0.0,0.0,0.0,0.0
llama-3.1-70b,pathologic_M,0.0,0.0,0.0,0.0
llama-3.1-70b,extrathyroidal_extension,0.0,0.0,0.0,0.0
llama-3.1-70b,focality,1.0,1.0,1.0,1.0
llama-3.1-70b,lymph_nodes_examined_count,0.0,0.0,0.0,0.0
llama-3.1-70b,lymph_nodes_positive_count,0.0,0.0,0.0,0.0
mixtral-8x7b,histologic_type,1.0,0.0,0.0,0.0
mixtral-8x7b,pathologic_T,0.0,0.0,0.0,0.0
mixtral-8x7b,pathologic_N,1.0,1.0,1.0,1.0
mixtral-8x7b,pathologic_M,0.0,0.0,0.0,0.0
mixtral-8x7b,extrathyroidal_extension,0.0,0.0,0.0,0.0
mixtral-8x7b,focality,1.0,1.0,1.0,1.0
mixtral-8x7b,lymph_nodes_examined_count,0.0,0.0,0.0,0.0
mixtral-8x7b,lymph_nodes_positive_count,1.0,1.0,1.0,1.0
llama-3.1-8b,histologic_type,1.0,0.0,0.0,0.0
llama-3.1-8b,pathologic_T,0.0,0.0,0.0,0.0
llama-3.1-8b,pathologic_N,1.0,1.0,1.0,1.0
llama-3.1-8b,pathologic_M,1.0,1.0,1.0,1.0
llama-3.1-8b,extrathyroidal_extension,0.0,0.0,0.0,0.0
llama-3.1-8b,focality,1.0,1.0,1.0,1.0
llama-3.1-8b,lymph_nodes_examined_count,0.0,0.0,0.0,0.0
llama-3.1-8b,lymph_nodes_positive_count,0.0,0.0,0.0,0.0
mistral-7b,histologic_type,1.0,0.0,0.0,0.0
mistral-7b,pathologic_T,0.0,0.0,0.0,0.0
mistral-7b,pathologic_N,0.0,0.0,0.0,0.0
mistral-7b,pathologic_M,1.0,1.0,1.0,1.0
mistral-7b,extrathyroidal_extension,0.0,0.0,0.0,0.0
mistral-7b,focality,1.0,1.0,1.0,1.0
mistral-7b,lymph_nodes_examined_count,0.0,0.0,0.0,0.0
mistral-7b,lymph_nodes_positive_count,0.0,0.0,0.0,0.0
