model,field,accuracy,precision,recall,f1_score
llama-3.3-70b-versatile,histologic_type,1.0,1.0,1.0,1.0
llama-3.3-70b-versatile,histologic_variant,0.8253968253968254,0.870929995929996,0.8253968253968254,0.8443560778417446
llama-3.3-70b-versatile,tumor_size,0.8412698412698413,0.8268707482993197,0.8412698412698413,0.8277135605823179
llama-3.3-70b-versatile,tumor_site,0.8095238095238095,0.871496924128503,0.8095238095238095,0.8223672486157968
llama-3.3-70b-versatile,extrathyroidal_extension,0.7936507936507936,0.8602292768959435,0.7936507936507936,0.8217893217893218
llama-3.3-70b-versatile,margins,0.8095238095238095,0.946938775510204,0.8095238095238095,0.8675324675324676
llama-3.3-70b-versatile,focality,0.873015873015873,0.9321291735084838,0.873015873015873,0.9006656426011265
llama-3.3-70b-versatile,lymph_nodes_resected,0.9206349206349206,0.9550763701707098,0.9206349206349206,0.9277531940500041
llama-3.3-70b-versatile,lymph_nodes_positive_count,0.8095238095238095,0.8571428571428572,0.8095238095238095,0.81877993182341
gpt-oss-20b,histologic_type,1.0,1.0,1.0,1.0
gpt-oss-20b,histologic_variant,0.8709677419354839,0.8859447004608295,0.8709677419354839,0.8783681214421252
gpt-oss-20b,tumor_size,0.8387096774193549,0.8259408602150538,0.8387096774193549,0.8306882870450233
gpt-oss-20b,tumor_site,0.8225806451612904,0.8429640018700327,0.8225806451612904,0.8305877783074669
gpt-oss-20b,extrathyroidal_extension,0.7580645161290323,0.8075268817204301,0.7580645161290323,0.779165656075673
gpt-oss-20b,margins,0.7419354838709677,0.9406030855539973,0.7419354838709677,0.8277649769585254
gpt-oss-20b,focality,0.9354838709677419,0.9510567296996664,0.9354838709677419,0.9431383269546201
gpt-oss-20b,lymph_nodes_resected,0.9032258064516129,0.9316129032258064,0.9032258064516129,0.9145026704633998
gpt-oss-20b,lymph_nodes_positive_count,0.8387096774193549,0.8467741935483872,0.8387096774193549,0.8289860975344846
gpt-oss-120b,histologic_type,1.0,1.0,1.0,1.0
gpt-oss-120b,histologic_variant,0.8548387096774194,0.9027265745007681,0.8548387096774194,0.8772399772788424
gpt-oss-120b,tumor_size,0.8548387096774194,0.8349565756823822,0.8548387096774194,0.8410041949253276
gpt-oss-120b,tumor_site,0.8225806451612904,0.8472542242703534,0.8225806451612904,0.8286321580395098
gpt-oss-120b,extrathyroidal_extension,0.8548387096774194,0.8773344651952462,0.8548387096774194,0.8643507030603805
gpt-oss-120b,margins,0.7580645161290323,0.9447505509917852,0.7580645161290323,0.8350230414746543
gpt-oss-120b,focality,0.9193548387096774,0.9344432882414152,0.9193548387096774,0.926779313876088
gpt-oss-120b,lymph_nodes_resected,0.9193548387096774,0.9544044665012407,0.9193548387096774,0.9266018767775395
gpt-oss-120b,lymph_nodes_positive_count,0.8548387096774194,0.8844086021505376,0.8548387096774194,0.8524161672829275
qwen3-32b,histologic_type,1.0,1.0,1.0,1.0
qwen3-32b,histologic_variant,0.847457627118644,0.8984537615224502,0.847457627118644,0.8712449532874333
qwen3-32b,tumor_size,0.864406779661017,0.8441442589524659,0.864406779661017,0.8499534363941144
qwen3-32b,tumor_site,0.847457627118644,0.8684422921711058,0.847457627118644,0.855843150994905
qwen3-32b,extrathyroidal_extension,0.864406779661017,0.8747645951035782,0.864406779661017,0.8689110749941955
qwen3-32b,margins,0.7627118644067796,0.918054532056006,0.7627118644067796,0.831588567630442
qwen3-32b,focality,0.9152542372881356,0.9310734463276836,0.9152542372881356,0.9230341761600445
qwen3-32b,lymph_nodes_resected,0.9491525423728814,0.9522033898305085,0.9491525423728814,0.9463068820049425
qwen3-32b,lymph_nodes_positive_count,0.8135593220338984,0.847457627118644,0.8135593220338984,0.820850147968792
llama-3.1-8b-instant,histologic_type,1.0,1.0,1.0,1.0
llama-3.1-8b-instant,histologic_variant,0.8253968253968254,0.9083049886621315,0.8253968253968254,0.8583722790619341
llama-3.1-8b-instant,tumor_size,0.8412698412698413,0.8187491520824853,0.8412698412698413,0.827249282626857
llama-3.1-8b-instant,tumor_site,0.8888888888888888,0.9056226864922516,0.8888888888888888,0.8927815570672714
llama-3.1-8b-instant,extrathyroidal_extension,0.6666666666666666,0.8833404833404833,0.6666666666666666,0.7119177119177119
llama-3.1-8b-instant,margins,0.8571428571428571,0.9426807760141094,0.8571428571428571,0.8961292119186856
llama-3.1-8b-instant,focality,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.9365079365079365
llama-3.1-8b-instant,lymph_nodes_resected,0.8253968253968254,0.8568826437678897,0.8253968253968254,0.77002717002717
